,comment_date,user_reviews,recommended or not,spent_hours,hold_products
115,December 4,"[""I just wanna start how this game is pretty awesome in gameplay, the concept and as a shooter game. However, there is a huge technical flaws that is currently present in game. By technical, I mean, server-lags, performance issues, bad optimization and awful synchronization. PlayerUnknown's Battlegrounds suffers server-lags that almost often lags you on some point due to I don't know? Bad servers I guess or congested servers. Next, performance issues that even a high end PC is struggling to maintain stability on running the game (massive frame drops, stutters, noticeable system unit heating even running on Very Low Settings). Bad optimization is the same I think on performance issues. This game is like a Pizza rushed out of the oven too early, without cheese just to sell it right away. It is optimized badly for Windows platform and I'm too skeptical on its performance for the PS4 system when it launches. Awful synchronization is a sub problem of server-lags and performance issues. The synchronization between your client and other clients is noticeable to the extent that the server doesn't register your complete hits even if you shoot first. Some times the characters would just teleport a few centimeters away from your crosshair and teleports back due to bad synchronization. Overall, this game is great if we are going to look at it as it is. But, digging deeper to a technical level -- it needs a huge refinement.""]",Not Recommended,53,3
116,December 4,['Could be the best game but its???????????????'],Not Recommended,"1,921.20",19
117,December 5,['Epic style game. Better than Rings Of Elysium'],Recommended,0.1,13
118,December 5,['honestly very tough for a noob like me.................'],Recommended,2.4,1
119,December 5,"[""Everyone speaks Chinese, they'll sometimes yell and shoot at you even as a teammate when you don't understand what they're saying.""]",Not Recommended,9.6,175
120,December 1,"['From the start, the game is pretty good (if you have a decent pc to run it). The last few patches have helped with optimizing the game. It\'s a great and fun game other than the fact that it\'s infested with hackers, and the devs do nothing about it. They focus more on smaller details like paintings in buildings and other things like that... Hackers have been a problem for a long time and it hasn\'t gotten any better, if anything it\'s gotten worse. Overall it\'s a good game, but 80% of your time playing it will be wasted queuing and dying from a ""hacker"". An easy solution would be to just region lock the game with dedicated servers, but appearently it\'s more important to let players from Asia play with the US running on 500 Ping.']",Not Recommended,383.8,20
121,December 5,"['-Crappy hitbox', ""-Cheaters everywhere (SOME OF US DOESN'T WANT THE CHINESE PLAYERS ACTUALLY GETTING REGION LOCKED OR ACTUALLY BANNED FROM PLAYING THIS GAME, BUT PLEASE. LISTEN TO US. GIVE CHINESE PLAYERS SANDBOXED SERVER)"", '-Microtransaction content first, technical problems later (EVEN EA FIXED BATTLEFRONT II 2017 RIGHT NOW BY FOCUSING TECHNICAL PROBLEMS AFTER LOOTBOX FIASCO AND THEN THEY RELEASED FREE EXPANSION CONTENT THAT THEY WERE PROMISED ON E3 LONG TIME AGO AFTER THEY FIXED TECHNICAL PROBLEMS. AND THIS MOVE WAS FROM THE MOST HATED COMPANY IN GAMING INDUSTRY)', '', ""The point is, I'm done with bluehole development team. And I regret to bought and played this game for more than 30 hours, If you want polished battle royale experience with PUBG vibe on it just download Black Ops 4, PUBGM, or Ring of Elysium. Bye.""]",Not Recommended,34.6,393
122,December 5,['After the fixPubg the game has got a lot better. Keep up the good work and dont focus on skins please.'],Recommended,679.5,12
123,December 5,"[""Everyone speaks Chinese, they'll sometimes yell and shoot at you even as a teammate when you don't understand what they're saying.""]",Not Recommended,9.6,175
124,December 5,['Epic style game. Better than Rings Of Elysium'],Recommended,0.1,13
125,December 5,['honestly very tough for a noob like me.................'],Recommended,2.4,1
126,December 5,"['what a bad game , all hacker ...']",Not Recommended,"1,638.30",34
127,December 5,"['worste game ever esp when charge 2.50 for a key', 'still have tons of creates i cant open and i refuse to spend another penny on this??????????????????game!']",Not Recommended,"1,075.60",12
128,December 5,"[""Its the best battle royale game........ But that isn't really an accomplishment when there is no other good battle royale game out there.""]",Recommended,243.2,225
129,December 4,['its ok'],Recommended,387.9,40
130,November 28,['good game'],Recommended,2.2,4
131,December 1,"['Product received for free', '', 'i might be stupid enough to call this game fun :)']",Recommended,23.7,27
132,November 29,"[""Can't even use socks with sandals, literally unplayable."", '0/5.']",Not Recommended,896.8,19
133,November 28,['nice'],Recommended,35,1
134,November 29,['A game full of bug'],Not Recommended,"1,225.10",6
135,November 28,['This game sucks.'],Not Recommended,84.6,106
136,November 29,"[""The game has been fixed, it's better now and it doesn't deserve the negative reviews that it has been given.""]",Recommended,56.6,29
137,December 4,['Dont waste your money on this game.. It is a dieing 1 legged dog with no hope for recovery Devs for this game are incompetent .'],Not Recommended,"1,300.90",16
138,December 2,"[""A game with repeated bugs, low framerate even for good computers, and just full of lies. Devs say they will fix the game but they instead just push out more skins to make money. Devs are making a new map, while the previous maps have huge flaws and bugs in them. Even when playing with friends, the most fun to have is when the game breaks (which spoiler: Happens a lot of times). When firing a gun, the bullets will sometimes dissappear if you have bad connection, or show you hit someone, when in reallity you didn't.""]",Not Recommended,331.4,253
139,December 4,"['Bought this game a month ago. I have played 7-8 hrs till now.', 'The gameplay is really smooth and the concept is very good.', 'But a day ago, i was on a match and suddenly got kicked from the session.', ""And a new message saying that I've been banned was displayed."", 'I contacted the support and they gave a copy paste message stating that bans could be applied even for using programs that alter other games.', ""Funnily i don't use any such programs and my laptop is brand new so I'm even picky on what i install in it."", ""I know I'm innocent but their customer support refuses it and even refuses proof of what I could possibly violate."", 'For some who plays fair. what happened is completely unfair.', ""I'm not the only one who got banned by their malfunctioning Anti-Cheat."", 'Thousands of players faced a similar issue, you can find them all over the internet.', '', ""I'm totally not going to recommend this game. My money has been wasted on it.""]",Not Recommended,8,5
140,December 5,"['I have 780 hours in this game and have watched it go from a fun and gritty, no bs shooter with a few issues, to a full on mess.', '', 'Yeah you have seemed to sort a few issues out, desync etc is not what it used to be and the lag seems to be as common as any other unreal 4 engine game. Fair enough yes. The map selection returned and also a ranking system was finally added.', '', 'Fine.', '', ""Problem is, it took you too long. People dont want to play this game anymore, it had everything going for it this time last year and what was Bluehole's PRIORITY????""]",Not Recommended,784.1,19
141,November 28,['Why dont you get bluestacks or some android emulator and download PUBG on it that seems to be better than this'],Not Recommended,0.2,49
142,November 28,"['?? proprio un gioco bello. Ne valgono tutti i soldi spesi. 30 euro sono proprio giusti come prezzo per un gioco cos?? bello.', '', '-Nessuno, mai']",Recommended,5.8,84
143,November 28,"[""This game is??????????????????and they wouldn't even give me a refund . The controls didn't work before or after I remapped them it's rediculous.""]",Not Recommended,3.7,4
144,December 3,['Good game'],Recommended,273.5,1
145,December 3,['MUCH GOOD GAME'],Recommended,247.3,33
146,November 28,"['I can\'t believe how poorly this game works even after ""fix pubg"", it is frustrating to see only more and more additions geared towards microtransactions, while the game itself remains what feels like an incomplete mess.']",Not Recommended,194.9,151
147,November 30,['asdcadadasd'],Recommended,79.1,1
148,December 3,"['Well this is a great game!', '', 'I really like them adding new skins every single day, i spent all my money on the John Wick skin.', 'My favorite place to drop is Tilted Towers! I really like playing this game with my friends and family. Kid friendly combat.', '', 'But pls give me back the double pump', '', '', '', '', '', '', '', '1990219209190/1290192090 how to??????????????????people off']",Recommended,43.7,18
149,November 29,"['Wait for 10 minutes to run naked for another 15 and die to a guy that was just luckier finding a gun in the dirt .', 'If there is a gamehell this is the guardian of the gates . Really strong example of how a game should not be', '', 'Looting does not work .', 'Bullets dont land on your crosshair.', 'But when it comes to roaming your teamate with a car the game works perfectly']",Not Recommended,35.8,14
150,November 30,"['Product received for free', '', '????????????????????????????????????????€??????????????????????????????????????????????????????????????????€????????????????????????']",Recommended,52.8,2
151,November 30,"[""If the devs were on fire I wouldn't??????????????????to put them out.""]",Not Recommended,228.4,400
152,November 30,['FIX PUBG'],Not Recommended,129.5,2
153,November 30,['Region lock china'],Not Recommended,80.9,43
154,December 4,['my friend got banned with .33 k/d and no chicken dinners... WTF! now i have no one to play with -sad'],Not Recommended,314.3,234
155,December 1,"['Awesome game! Highly reccomended, as long as you have a good gaming rig. The devs have continued to make positive changes for the games stability and balance. Been playing it since day 1!']",Recommended,783.1,61
156,December 1,['Game is good and stable but there are some glithes here and there...'],Recommended,15.8,2
157,November 28,['PLIIIIIISS RETURN OF THE SKINS SHROUD CREAT'],Recommended,644,7
158,November 29,"['Pubg was good first and i got some fun with it yes but now it is only about skins and crates...', 'Desperately trying to be the last survivor feels stupid after a while and there are no other targets... nothing else to do.', 'Its playing 10+ rounds to get a crate there you need a key for real money to open it - only to get a worthless and ugly skin.', 'Iam sad of this??????????????????with the crates in all the games anyway...', '', 'Better play Escape from Tarkov ;)']",Not Recommended,296.4,333
159,November 29,"['This game was fun, then it became a loot crate s#*t festival! Pay $10 for these pants or $15 for this gun skin. Meanwhile gameplay took a dive, bugs were never resolved and all new content centered around more new skins and gear which PUBG could be sell for more cash. Fortnite is free to play and makes money through skins etc. This game is pay to play, then pay more to play, then die a billion times due to some messed up game design. So much for the early days when crates could just be opened for fun and enjoying the game.', '', 'RIP PUBG! It was fun, moving on now.']",Not Recommended,376.4,108
160,December 3,['MUCH GOOD GAME'],Recommended,247.3,33
161,November 27,['Avoid this??????????????????Show! Invest your time in better games!'],Not Recommended,126.3,128
162,November 28,"['Come across more and more hackers the longer l play the game, also the matchmaking is screwed up ever since they changed the autofill ping servers to match you to other servers. Rarely ever get to play on aussie servers.']",Not Recommended,937.6,29
163,November 29,"['Product received for free', '', 'oh god no, run']",Not Recommended,221.1,96
164,November 29,['bad'],Not Recommended,0.3,37
